カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2024-12-10,2024-12-11,,EX002049-02,FA28.2*9.2　L,T-motor,100,,外観,基準書、限度見本別にあり,角田,外観全数,120,,２階,ルーペ、見本,良　基準内,
メカ,2024-12-17,2024-12-18,,EX000918,隙間テープ,（株）五輪パッキング,400,,外観,検査基準書 適用型式AC102,西村,20なみ検,20,,本社１階,目視,カット不良、浮き、第四剥がれは無しOK,
メカ,2025-01-07,2025-01-16,,EX001999-31,AC102 カウル前後シール付き,緑川化成工業（株）,115,4,外観,検査基準書 適用型式AC102,西村・西浦,全数,180,2,群馬通商,指金・定規,シール内にゴミ４枚、後ろのシール右上がり傾向、シール張り直し対応済,
メカ,2025-01-17,2025-01-20,,EX002050-02,FA28.2*9.2　R　,T-motor,100,,外観,基準書、限度見本別にあり,角田,外観全数,120,1,本社１階,目視,バフキズ、表面模様ムラ、キズ、凹みあり。準体裁面,
メカ,2025-01-17,2025-01-20,,EX002049-02,FA28.2*9.2　L,T-motor,100,,外観,基準書、限度見本別にあり,角田,外観全数,120,1,本社１階,目視,バフキズ、表面模様ムラ、キズ、凹みあり。準体裁面,
メカ,2025-01-27,2025-01-29,,EX002050-02,FA28.2*9.2　R　,T-motor,100,1,外観,基準書、限度見本別にあり,角田,外観全数,100,1,本社１階,目視,補修跡目立つ,
メカ,2025-01-27,2025-01-29,,EX002049-02,FA28.2*9.2　L,T-motor,100,1,外観,基準書、限度見本別にあり,角田,外観全数,100,1,本社１階,目視,補修跡目立つ,
メカ,2025-02-06,2025-02-06,,EX002772-01,TC-150PEN5-20 カットサイズ20mm×20mm×1.5t (低比重低硬度放熱シリコーンパッド),（株）五輪パッキング,266,,,0,,,,,,,,
メカ,2025-02-06,2025-02-06,,EX002601-01,FC放熱シート,（株）五輪パッキング,400,,,,,,,,,,,
メカ,2025-02-06,,,EX000904,保護パッド,（株）五輪パッキング,130,,,,,,,,,,,
メカ,2025-02-06,,,EX000918,隙間テープ,（株）五輪パッキング,400,,,,,,,,,,,
メカ,2025-02-06,,,EX002544-01,FPV 防滴シート,（株）五輪パッキング,180,,,,,,,,,,,
メカ,2025-02-06,,,EX002565-01,コネクタスポンジ,（株）五輪パッキング,120,,,,,,,,,,,
メカ,2025-02-06,,,EX002789-01,Cushion,（株）五輪パッキング,140,,,,,,,,,,,
メカ,2025-02-06,,,EX002790-01,TR-5912F　8mm×8mm,（株）五輪パッキング,250,,,,,,,,,,,
メカ,2025-02-06,,,EX002799-01,シャッターギアガスケット,（株）五輪パッキング,230,,,,,,,,,,,
メカ,2025-02-17,2025-02-19,,EX000941-11,誘導板,（株）深沢製作所,110,,外観,検査基準書 適用型式AC101P13,西村,外観全数,15,1,本社1階,目視,バリ、反り、歪み　小傷は工程上やむなしの為不問,
メカ,2025-02-26,2025-03-03,,EX000747,Slide Rail,金森産業（株）,300,2,外観,検査基準書 適用型式AC102,西村,外観全数,50,1,本社1階,目視,2点レール端面にキズあり、製造中による？,
メカ,2025-02-26,2025-03-03,,EX000749,スライドポスト,金森産業（株）,620,,外観,検査基準書 適用型式AC102,西村,外観全数,70,1,本社1階,目視,,
メカ,2025-02-26,2025-03-03,,EX000768,LED cover,金森産業（株）,600,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,
メカ,2025-02-26,2025-03-03,,EX000779,Ball valve mount,金森産業（株）,200,,外観,検査基準書 適用型式AC102,西村,外観全数,25,1,本社1階,目視,,
メカ,2025-02-26,2025-03-03,,EX000794,Battery mount LH,金森産業（株）,150,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,
メカ,2025-02-26,2025-03-03,,EX000795,Battery mount RH,金森産業（株）,150,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,
メカ,2025-02-26,2025-03-03,,EX000825,	Nozzle mount,金森産業（株）,250,,外観,検査基準書 適用型式AC102,西村,外観全数,25,1,本社1階,目視,インサート有り、注意,
メカ,2025-02-26,2025-03-03,,EX000837,タンクキャップ(穴追加工),金森産業（株）,110,,外観,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,目視,,
メカ,2025-03-06,2025-03-10,,EX000935,カバー_cover_4(2),金森産業（株）,70,,外観,検査基準書 適用型式AC101P13,西村,外観全数,20,1,本社1階,目視,インサート有り、注意　体裁面のキズ注意,
