カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),検査場所,検査治具,検査結果・備考,その他
Api,2025-09-29,2025-09-29,EXA000027-11,Leg(Assy),,120,,,検査基準書 適用型式AC102,西村、長野佳,外観全数,30,本社１階,,,インサートがあるが検査項目に入れないのか？
Api,2025-09-29,2025-09-30,EXA000029-11,Boom(Assy)　,,100,,外観寸法,検査基準書 適用型式AC102,西村、長野佳,外観全数,40,本社１階,ピンゲージ,M4の穴はピンゲージで代用,
Api,2025-09-29,2025-09-29,EXA000028-11,Skid(Assy),,,,外観寸法,検査基準書 適用型式AC102,西村、長野佳,外観全数,35,本社１階,ピンゲージ、レッグ,寸法は治具（レッグ、とピンゲージ）で代用,
Api,2025-09-29,2025-09-29,EXA000008-11,Battery lock handle Assy,,16,,外観寸法,検査基準書 適用型式AC102,西村,外観全数,25,本社１階,ピンゲージ,穴はピンゲージで代用,
Api,2025-09-29,2025-09-29,EX000943-11,サーボホーン,,200,,外観,検査基準書 適用型式AC102,西村,外観全数,45,本社１階,サーボ,サーボを治具として使用,基準書にサーボとのセレーションの勘合は基準にしなくていいのか？
Api,2025-09-29,2025-09-29,EX000817-11,フランジカラー φ8.5 φ3.1　,,,,外観寸法,検査基準書 適用型式AC102,西村,外観全数,40,本社１階,ノギス,寸法は基準値オーバーですが、相手側の誤差も考慮し今回は不問,
Api,2025-09-29,2025-09-29,EX000803-11　,TFミニプラス　ホルダー,,,,外観寸法,検査基準書 適用型式AC102,西村,外観全数,40,本社１階,ノギス,,
Api,2025-09-29,2025-10-01,EX002878-01,Lower Plate（AC102）,,25,,外観,検査基準書 適用型式AC102,西村,外観全数,20,本社１階,,,
Api,2025-09-29,2025-09-29,EX000796-11,Center beam,,,,外観寸法,検査基準書 適用型式AC102,西村,外観全数,40,本社１階,ノギス,M3ネジ穴の記述修正必要,
Api,2025-10-17,2025-10-21,EXA000002-02,液剤ポンプAssy（ver2025）,,96,,外観,無し,,,20,本社１階,,配線加工分を取り付け,N25-00373
Api,2025-10-22,2025-10-27,EXA000008-11,Battery lock handle Assy,,134,,外観,検査基準書 適用型式AC102,西村,外観全数,70,本社１階,,,
Api,2025-10-22,2025-10-27,EXA000027-11,Leg(Assy),,280,,外観,検査基準書 適用型式AC102,岩熊,外観全数,80,本社１階,,,
Api,2025-10-22,2025-10-28,EXA000028-11,Skid(Assy),,140,,外観寸法,検査基準書 適用型式AC102,西村,外観全数,40,本社１階,,,
Api,2025-10-22,2025-10-27,EX000746,Arm pipe Assy,,400,,外観寸法,検査基準書 適用型式AC102,西村、旭,外観全数,120,本社１階,,,
Api,2025-10-22,2025-10-28,EX002550-03,Upper plate,,16,,外観,検査基準書 適用型式AC102,西村,外観全数,15,本社１階,,,
Api,2025-11-25,2025-11-25,EX002514-13,Harnessz(Pump-PCM/PDB/MC),,60,,外観,ハーネス図面_AC102,西村,外観全数,20,本社１階,,コーキング箇所ありハーネス図面の修正と基準書の用意必要,
Api,2025-11-25,2025-11-25,EX002513-01,Harness（PCM-PDB）,,300,,外観寸法,ハーネス図面_AC102,西村,外観全数,30,本社１階,,基準書の作成要,
