品名,カテゴリ,検査回数,工数記録あり,合計工数(分),合計工数(時間),平均工数(分/回),数値でない値
motor cover 3,メカ,2,2,180.0,3.0,90.0,
サーボ AC20-05H-A01,エレキ,3,3,180.0,3.0,60.0,
シャッターギアs2s-40A-2,メカ,1,1,180.0,3.0,180.0,
可動板,メカ,3,2,170.0,2.83,85.0,
FC Carrier Lower Case,メカ,4,4,165.0,2.75,41.2,
FC Carrier Upper Case,メカ,4,4,165.0,2.75,41.2,
Ball_valve_mount,メカ,1,1,160.0,2.67,160.0,
GPS mount (AC102),メカ,5,4,160.0,2.67,40.0,
サーボ　AC20-05H-A01,買い物,2,2,160.0,2.67,80.0,
MC Assy,エレキ,6,5,155.0,2.58,31.0,
U-shaped grommet S,Api,5,5,155.0,2.58,31.0,
Ball valve mount,メカ,4,4,150.0,2.5,37.5,
Skid Assy,メカ,2,2,150.0,2.5,75.0,
フライトコントローラー(NTT e-DT製),エレキ,6,5,150.0,2.5,30.0,
Harness(FC-SIG HUB),エレキ,5,5,140.0,2.33,28.0,
Mecha tray,メカ,3,3,140.0,2.33,46.7,
液剤ポンプAssy（ver2025）,Api,4,4,138.0,2.3,34.5,
Battery mount LH,メカ,4,4,130.0,2.17,32.5,
Battery mount RH,メカ,4,4,130.0,2.17,32.5,
Harnessz(Pump-PCM/PDB/MC),Api,3,3,130.0,2.17,43.3,
ハウジング unit housing 3-3(2),メカ,4,2,130.0,2.17,65.0,
float cencer,Api,4,4,125.0,2.08,31.2,
50mesh,Api,1,1,120.0,2.0,120.0,
Battery lock  handle Assy,メカ,1,1,120.0,2.0,120.0,
Franged coller φ8.5 φ3.1,Api,1,1,120.0,2.0,120.0,
Lower Plate (AC102),メカ,2,2,120.0,2.0,60.0,
Slide post,メカ,1,1,120.0,2.0,120.0,
サーボホルダ(AC20),メカ,2,1,120.0,2.0,120.0,
タンクキャップ（穴追加工）,メカ,1,1,120.0,2.0,120.0,
誘導板 induction plate 6(1),メカ,3,2,115.0,1.92,57.5,
FPV Unit cover(AC102),メカ,2,2,110.0,1.83,55.0,
ジョイントホルダ,メカ,3,3,110.0,1.83,36.7,
Harness(Pump-PCM/PDB/MC),Api,2,2,105.0,1.75,52.5,
PDB基板Assy,エレキ,5,4,105.0,1.75,26.2,
TF mini plus holder,Api/メカ,3,3,105.0,1.75,35.0,
撹拌棒/mixing arm,メカ,5,5,105.0,1.75,21.0,
フロートセンサーAssy,エレキ,4,4,95.0,1.58,23.8,
Battery connector cap,Api,2,2,90.0,1.5,45.0,
Boom mount RH,Api,1,1,90.0,1.5,90.0,
Fraged coller φ8.5 φ3.1,Api,1,1,90.0,1.5,90.0,
Hamess(FC-GPSヘリカル/PCM),エレキ,1,1,90.0,1.5,90.0,
Hamess(FC-MC),エレキ,1,1,90.0,1.5,90.0,
Hamess(FC-外部LED),エレキ,1,1,90.0,1.5,90.0,
Hamess(FC-外部USB),エレキ,1,1,90.0,1.5,90.0,
Hamess(PCM-FC),エレキ,1,1,90.0,1.5,90.0,
Hamess(PCM-MC),エレキ,1,1,90.0,1.5,90.0,
Hamess(PCM-SIG-HUB),エレキ,1,1,90.0,1.5,90.0,
シャッターギア s2s-40A-2,メカ,3,3,90.0,1.5,30.0,
液剤ポンプ配線加工,エレキ,4,4,90.0,1.5,22.5,
